id,wd,ovbd,od,mud,sh,lithol,interc,d0,d6,d12,d18,d24,d36,d48,d60,d72,d96,d120,d144
67,1000,2833.333333,14.75,10,50,0,0.5,-0.000346504,-0.001048236,-0.001249308,-0.001395397,-0.001515303,-0.001711871,-0.001873789,-0.002014846,-0.002141472,-0.002365687,-0.002563445,-0.002743369
68,1000,2833.333333,14.75,12,50,0,0.5,-0.000232567,-0.000404621,-0.000459172,-0.000500657,-0.000531219,-0.000582133,-0.000623382,-0.000659868,-0.000691913,-0.000748471,-0.00079841,-0.000844306
69,1000,2833.333333,14.75,14,50,0,0.5,-0.00011863,-0.000128507,-0.000134265,-0.000138862,-0.000142639,-0.000149261,-0.000154828,-0.000159894,-0.000164951,-0.000173573,-0.000182018,-0.000189987
70,1000,2833.333333,12.25,10,50,0,0.5,-0.000287797,-0.00087115,-0.001037498,-0.001159293,-0.001259074,-0.001422366,-0.001559666,-0.001673606,-0.001779059,-0.001965651,-0.002130154,-0.002279969
71,1000,2833.333333,12.25,12,50,0,0.5,-0.000193164,-0.000336363,-0.00038163,-0.000414368,-0.00044034,-0.000482825,-0.000517201,-0.000546958,-0.000573818,-0.000620935,-0.000662669,-0.000700568
72,1000,2833.333333,12.25,14,50,0,0.5,-9.85E-05,-0.000106642,-0.000111643,-0.000115634,-0.00011888,-0.000124506,-0.000129162,-0.000133353,-0.000137533,-0.000144639,-0.000151621,-0.000158212
73,2000,2833.333333,17.5,10,50,0,0.5,-0.000385143,-0.000982232,-0.001150999,-0.00127391,-0.001374148,-0.001536491,-0.001670239,-0.001785681,-0.001889009,-0.002070566,-0.002229037,-0.002372232
74,2000,2833.333333,17.5,12,50,0,0.5,-0.000215172,-0.000283931,-0.000310935,-0.000329062,-0.000344786,-0.000370389,-0.000389962,-0.000408156,-0.000423463,-0.000450548,-0.000474634,-0.000496461
75,2000,2833.333333,17.5,14,50,0,0.5,-4.52E-05,-4.53E-05,-4.54E-05,-4.55E-05,-4.56E-05,-4.58E-05,-4.60E-05,-4.61E-05,-4.63E-05,-4.67E-05,-4.71E-05,-4.74E-05
76,2000,2833.333333,14.75,10,50,0,0.5,-0.000324655,-0.000819387,-0.000964993,-0.001069874,-0.001155162,-0.001293432,-0.001406101,-0.001503846,-0.001593866,-0.001746225,-0.001881276,-0.002001617
77,2000,2833.333333,14.75,12,50,0,0.5,-0.000181378,-0.000239527,-0.000261494,-0.000277522,-0.00029205,-0.000312202,-0.00033117,-0.000345263,-0.000357651,-0.000380184,-0.000400073,-0.000418396
78,2000,2833.333333,14.75,14,50,0,0.5,-3.81E-05,-3.82E-05,-3.83E-05,-3.83E-05,-3.84E-05,-3.86E-05,-3.87E-05,-3.89E-05,-3.91E-05,-3.94E-05,-3.97E-05,-4.00E-05
79,2000,2833.333333,12.25,10,50,0,0.5,-0.00026965,-0.000682706,-0.00080302,-0.000890384,-0.000961173,-0.001075509,-0.001169139,-0.001250205,-0.001322722,-0.001451495,-0.001560737,-0.001661742
80,2000,2833.333333,12.25,12,50,0,0.5,-0.000150648,-0.000199521,-0.000217487,-0.000232044,-0.000242697,-0.000259409,-0.0002736,-0.000285165,-0.000295924,-0.000314923,-0.00033162,-0.000346919
81,2000,2833.333333,12.25,14,50,0,0.5,-3.16E-05,-3.17E-05,-3.18E-05,-3.18E-05,-3.19E-05,-3.20E-05,-3.22E-05,-3.23E-05,-3.24E-05,-3.27E-05,-3.29E-05,-3.32E-05
82,0,4000,17.5,10,50,0,0.5,-0.000614102,-0.007780709,-0.010352552,-0.012356806,-0.014080759,-0.017069282,-0.019709139,-0.022141229,-0.024431336,-0.028716226,-0.032722399,-0.036527868
83,0,4000,17.5,12,50,0,0.5,-0.000473135,-0.003229566,-0.004134235,-0.004827348,-0.005418777,-0.006440059,-0.007342309,-0.008174453,-0.008958627,-0.010426812,-0.011800683,-0.013107027
84,0,4000,17.5,14,50,0,0.5,-0.000332168,-0.001145771,-0.001394946,-0.001584074,-0.001745282,-0.002025138,-0.00227406,-0.002504392,-0.00272177,-0.003128521,-0.003508375,-0.00386927
85,0,4000,14.75,10,50,0,0.5,-0.000517654,-0.006571663,-0.008750544,-0.010450754,-0.011914877,-0.014456106,-0.016705847,-0.018778633,-0.020733125,-0.024396852,-0.027828041,-0.031093971
86,0,4000,14.75,12,50,0,0.5,-0.000398827,-0.002725542,-0.003489119,-0.004075279,-0.004575869,-0.005440212,-0.006204141,-0.006909136,-0.007573911,-0.008820142,-0.009985806,-0.011095781
87,0,4000,14.75,14,50,0,0.5,-0.00028,-0.000966334,-0.001176444,-0.001336999,-0.001472449,-0.001708665,-0.001918949,-0.002113448,-0.002297453,-0.002640578,-0.002961678,-0.003266951
88,0,4000,12.25,10,50,0,0.5,-0.00042995,-0.005465909,-0.007281793,-0.008700732,-0.009923679,-0.012048317,-0.013929854,-0.015667282,-0.017306265,-0.020381422,-0.023266418,-0.02601849
89,0,4000,12.25,12,50,0,0.5,-0.000331255,-0.002264702,-0.002900896,-0.003388541,-0.003805023,-0.00452495,-0.005161635,-0.005748143,-0.006302729,-0.007341372,-0.008315009,-0.009242406
90,0,4000,12.25,14,50,0,0.5,-0.000232561,-0.000802762,-0.000977323,-0.001109885,-0.001223095,-0.001419646,-0.001599715,-0.001759001,-0.00190886,-0.002197241,-0.002464,-0.002715434
91,1000,4000,17.5,10,50,0,0.5,-0.000588182,-0.005576432,-0.007273257,-0.008573754,-0.009678259,-0.01156131,-0.013189488,-0.014664715,-0.016037727,-0.018579077,-0.020935289,-0.023162617
92,1000,4000,17.5,12,50,0,0.5,-0.000412408,-0.001827215,-0.00226221,-0.002589602,-0.002862159,-0.003321645,-0.003716892,-0.004075091,-0.004408919,-0.005028014,-0.005603572,-0.006146538
93,1000,4000,17.5,14,50,0,0.5,-0.000236635,-0.000446555,-0.000514592,-0.000565421,-0.00060765,-0.000680239,-0.000744072,-0.000805679,-0.000859787,-0.000962553,-0.001058503,-0.001149163
